Wall time,Step,Value
1597518388.1349394,893,31.0
1597518388.276146,894,31.0
1597518388.7178035,896,51.0
1597518388.9153755,897,34.0
1597518389.1908948,899,38.0
1597518389.350577,900,33.0
1597518390.0072458,905,30.0
1597518390.4363253,907,51.0
1597518390.6189094,908,28.0
1597518390.85774,909,51.0
1597518391.0590804,910,29.0
1597518391.2423038,911,25.0
1597518391.3945956,912,29.0
1597518391.532419,913,25.0
1597518391.8284438,915,32.0
1597518391.96036,916,23.0
1597518392.0766914,917,22.0
1597518392.474771,920,23.0
1597518392.7437499,921,51.0
1597518392.9171398,922,25.0
1597518393.1767974,923,51.0
1597518393.5804236,925,32.0
1597518394.608411,931,28.0
1597518394.8182433,932,51.0
1597518395.0007992,933,31.0
1597518395.262879,935,29.0
1597518396.0749168,939,51.0
1597518396.7252114,942,51.0
1597518397.235459,945,23.0
1597518397.9039154,948,51.0
1597518398.1620376,949,44.0
1597518398.6684854,952,29.0
1597518398.841012,953,33.0
1597518399.0942209,954,51.0
1597518399.6574345,956,51.0
1597518399.8657653,957,31.0
1597518400.0163548,958,25.0
1597518400.3161807,960,28.0
1597518400.5317993,961,35.0
1597518400.742738,962,41.0
1597518400.914423,963,29.0
1597518401.091172,964,33.0
1597518401.4130177,966,31.0
1597518401.586775,967,33.0
1597518401.860138,969,24.0
1597518402.260919,971,34.0
1597518402.5055265,972,51.0
1597518402.8641758,974,32.0
1597518403.1692765,976,25.0
1597518403.3430345,977,33.0
1597518403.5275455,978,20.0
1597518403.7589397,979,51.0
1597518404.3882225,982,46.0
1597518404.6895216,983,51.0
1597518404.8447618,984,25.0
1597518405.1895716,987,23.0
1597518405.2914512,988,23.0
1597518406.4477184,996,22.0
1597518407.006755,999,31.0
1597518407.1364193,1000,26.0
1597518407.7021542,1002,52.0
1597518408.2580726,1004,51.0
1597518408.5406353,1005,51.0
1597518409.301815,1008,25.0
1597518409.4642866,1009,29.0
1597518409.9846337,1011,39.0
1597518410.2478654,1012,51.0
1597518410.5245261,1013,31.0
1597518410.668467,1014,25.0
1597518411.2417052,1017,29.0
1597518412.5644772,1025,24.0
1597518412.7136064,1026,27.0
1597518412.8363197,1027,25.0
1597518413.147982,1029,49.0
1597518413.6360886,1031,51.0
1597518413.8497584,1032,34.0
1597518413.988998,1033,25.0
1597518414.234012,1035,26.0
1597518414.5724442,1037,51.0
1597518414.8558211,1038,51.0
1597518415.138577,1039,51.0
1597518415.728007,1042,19.0
1597518415.8343058,1043,22.0
1597518416.0266056,1044,51.0
1597518416.754436,1049,22.0
1597518417.0262246,1051,28.0
1597518417.1974745,1052,32.0
1597518417.4806647,1054,24.0
1597518417.6200306,1055,27.0
1597518417.8993506,1057,25.0
1597518418.8924642,1063,20.0
1597518419.039991,1064,27.0
1597518419.2594955,1066,21.0
1597518419.581258,1068,28.0
